GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Powerunit - Java Testing framework for JDK 1.8 - Extension to support integration with spring.,ch.powerunit.extension.spring.impl,SpringRuleImpl,3,41,1,1,1,13,2,4,1,4
Powerunit - Java Testing framework for JDK 1.8 - Extension to support integration with spring.,ch.powerunit.extension.spring,SpringRule,0,23,0,0,0,4,0,1,0,1
